AÑO,CategoryName,ProductName,CompanyName,CANTIDAD
1996,Beverages,Cte de Blaye,Piccolo und mehr,10540.0000
1996,Condiments,Vegie-spread,Save-a-lot Markets,2808.0000
1996,Confections,Tarte au sucre,Rattlesnake Canyon Grocery,3743.0000
1996,Dairy Products,Raclette Courdavault,Frankenversand,3080.0000
1996,Grains/Cereals,Wimmers gute Semmelkndel,Lehmanns Marktstand,1330.0000
1996,Meat/Poultry,Thringer Rostbratwurst,Blondesddsl pre et fils,3465.0000
1996,Produce,Manjimup Dried Apples,Hungry Owl All-Night Grocers,2035.2000
1996,Seafood,Carnarvon Tigers,Mre Paillarde,2000.0000
1997,Beverages,Cte de Blaye,Simons bistro,10540.0000
1997,Condiments,Sirop d'rable,Ernst Handel,3420.0000
1997,Confections,Schoggi Schokolade,QUICK-Stop,5268.0000
1997,Dairy Products,Camembert Pierrot,QUICK-Stop,4726.0000
1997,Grains/Cereals,Gnocchi di nonna Alice,Save-a-lot Markets,4978.0000
1997,Meat/Poultry,Perth Pasties,Save-a-lot Markets,243936.0000
1997,Produce,Manjimup Dried Apples,Ernst Handel,6360.0000
1997,Seafood,Carnarvon Tigers,Folies gourmandes,5000.0000
1998,Beverages,Cte de Blaye,Hanari Carnes,15810.0000
1998,Condiments,Sirop d'rable,Ernst Handel,1881.0000
1998,Confections,Tarte au sucre,Rattlesnake Canyon Grocery,4437.0000
1998,Dairy Products,Raclette Courdavault,Ernst Handel,6050.0000
1998,Grains/Cereals,Wimmers gute Semmelkndel,Ernst Handel,5453.0000
1998,Meat/Poultry,Thringer Rostbratwurst,Hungry Owl All-Night Grocers,17330.6000
1998,Produce,Rssle Sauerkraut,Ernst Handel,3192.0000
1998,Seafood,Ikura,Ernst Handel,3100.0000
