AÑO,CategoryName,ProductName,CompanyName,CANTIDAD
1996,Beverages,Cte de Blaye,Blondesddsl pre et fils,2108.0000
1996,Beverages,Cte de Blaye,Ernst Handel,4216.0000
1996,Beverages,Cte de Blaye,Split Rail Beer & Ale,4216.0000
1996,Beverages,Cte de Blaye,Queen Cozinha,8432.0000
1996,Beverages,Cte de Blaye,Piccolo und mehr,10540.0000
1996,Condiments,Vegie-spread,Tortuga Restaurante,175.5000
1996,Condiments,Vegie-spread,Berglunds snabbkp,280.8000
1996,Condiments,Vegie-spread,Que Delcia,561.6000
1996,Condiments,Vegie-spread,Save-a-lot Markets,2808.0000
1996,Confections,Tarte au sucre,The Big Cheese,197.0000
1996,Confections,Tarte au sucre,Hungry Coyote Import Store,394.0000
1996,Confections,Tarte au sucre,Lonesome Pine Restaurant,394.0000
1996,Confections,Tarte au sucre,Morgenstern Gesundkost,472.8000
1996,Confections,Tarte au sucre,Hungry Owl All-Night Grocers,591.0000
1996,Confections,Tarte au sucre,Ottilies Kseladen,591.0000
1996,Confections,Tarte au sucre,Bottom-Dollar Markets,788.0000
1996,Confections,Tarte au sucre,Mre Paillarde,1103.2000
1996,Confections,Tarte au sucre,QUICK-Stop,1576.0000
1996,Confections,Tarte au sucre,Rattlesnake Canyon Grocery,3743.0000
1996,Dairy Products,Raclette Courdavault,Magazzini Alimentari Riuniti,264.0000
1996,Dairy Products,Raclette Courdavault,Furia Bacalhau e Frutos do Mar,396.0000
1996,Dairy Products,Raclette Courdavault,Simons bistro,396.0000
1996,Dairy Products,Raclette Courdavault,Tortuga Restaurante,440.0000
1996,Dairy Products,Raclette Courdavault,Sant Gourmet,528.0000
1996,Dairy Products,Raclette Courdavault,Berglunds snabbkp,660.0000
1996,Dairy Products,Raclette Courdavault,Hungry Owl All-Night Grocers,1320.0000
1996,Dairy Products,Raclette Courdavault,Richter Supermarkt,1320.0000
1996,Dairy Products,Raclette Courdavault,Save-a-lot Markets,1760.0000
